Year,"Healthcare Costs (Nominal, CHF)",Index 1995=100 (Healthcare Costs),GDP Nominal (CHF),Index 1995=100 (GDP),% of GDP,Population (Thousands),Healthcare Costs per Capita (CHF),Population
1960.0,2005.22148730262,5.56821018510816,45057.7325748376,10.7992981714267,4.45033820548359,5362.0,31.1640788154703,5362000.0
1961.0,2128.45471885313,5.91041105389416,50688.4419974893,12.1488492139893,4.19909280099506,5512.0,32.1791049657283,5512000.0
1962.0,2309.71399511373,6.41374186029664,56210.6366775202,13.4723917782155,4.1090336840775,5666.0,33.9703787962368,5666000.0
1963.0,2490.5499765274,6.91589723810289,61811.2031161105,14.8147182434624,4.02928571354448,5789.0,35.8517587454282,5789000.0
1964.0,2754.2863521606,7.64825502614939,68515.0027713446,16.421464238462,4.01997553930267,5887.0,38.9882559334211,5887000.0
1965.0,3041.52851841173,8.44588499662391,73380.0803988391,17.5875110172071,4.14489668296935,5943.0,42.648613472597,5943000.0
1966.0,3549.63709782397,9.85682906686222,78799.7889330616,18.8864900185602,4.50462767208589,5996.0,49.3334041836776,5996000.0
1967.0,4013.52951600626,11.1449912494806,84822.3571485102,20.3299605662261,4.7316882611258,6063.0,55.164240969903,6063000.0
1968.0,4389.64342778077,12.189405209517,90573.6385074071,21.7084099180513,4.84649120883201,6132.0,59.6548628476404,6132000.0
1969.0,4868.84885553543,13.5200894059904,98139.5275067945,23.5217788242783,4.96114968069145,6212.0,65.3151005518275,6212000.0
1970.0,5476.2197362211,15.2066705369963,109316.545996726,26.2006520929196,5.00950673687139,6267.0,72.8181976520013,6267000.0
1971.0,6481.13047880121,17.997162394076,124183.065735761,29.7638136249959,5.21901310810917,6343.0,85.1480697724685,6343000.0
1972.0,7281.15904288219,20.218726060285,140719.506791793,33.7272167403589,5.17423576082833,6401.0,94.791947129123,6401000.0
1973.0,8215.99403276456,22.8146276826343,156815.860280529,37.5851410269136,5.2392621626836,6441.0,106.298116658445,6441000.0
1974.0,9476.49681310981,26.3148616788882,170127.002042001,40.7755143695026,5.57024851985003,6460.0,122.245830922469,6460000.0
1975.0,10713.2161237698,29.749052418087,168987.597244484,40.5024253469712,6.33964639917947,6404.0,139.407871691779,6404000.0
1976.0,11227.0834956361,31.1759878224496,171163.92069371,41.0240398291608,6.55925819538012,6333.0,147.732558235119,6333000.0
1977.0,11543.9086771845,32.0557655497318,175781.825851902,42.1308450739176,6.56717986699626,6316.0,152.310384700028,6316000.0
1978.0,12024.8089690499,33.3911561388225,182877.484299933,43.8315105740206,6.57533594968329,6333.0,158.229498513736,6333000.0
1979.0,12785.4703494075,35.5034028269542,191160.776319979,45.8168244203599,6.68833355646464,6351.0,167.761905597642,6351000.0
1980.0,13735.9386959269,38.142716020646,205370.179006478,49.2224901669552,6.68838034926852,6385.0,179.273540797793,6385000.0
1981.0,14873.1219406204,41.3005094941014,220471.246585022,52.8418674007449,6.74605971118542,6354.0735,195.060196956336,6354073.5
1982.0,16078.5586879469,44.6478330772914,233572.54542695,55.9819462405301,6.8837536785656,6391.3085,209.640935132805,6391308.5
1983.0,17431.1499129535,48.4037833715905,240628.981900048,57.673211138828,7.24399437478982,6418.773,226.304283712706,6418773.0
1984.0,18039.0495674478,50.0918328310208,257187.146814017,61.6418209613621,7.01397787211062,6441.8645,233.356993246389,6441864.5
1985.0,19012.2318663417,52.7942193868108,272689.729586852,65.3574321167393,6.97211145250935,6470.365,244.86294908069,6470365.0
1986.0,20383.9391063091,56.6032520911469,286186.858673998,68.5923823270772,7.12259787215769,6504.1255,261.166792091024,6504125.5
1987.0,21645.7679628201,60.1071684092087,297101.275014932,71.2083159237594,7.28565300224046,6545.106,275.597369531016,6545106.0
1988.0,23117.2282162733,64.1932008111861,315400.59655969,75.5942407895619,7.32948144944243,6593.386,292.176991410701,6593386.0
1989.0,24994.8846596291,69.4071813107129,340440.35481451,81.5956927065022,7.34192768458594,6646.9115,313.3646438604,6646911.5
1990.0,26902.5651087934,74.7045341339449,369198.756762889,88.4884176579508,7.28674314742372,6712.2715,333.997280314537,6712271.5
1991.0,30339.0847832156,84.247252468857,385605.029403516,92.4206224095675,7.86791729095091,6799.978,371.803712492594,6799978.0
1992.0,32324.669377055,89.7609338396283,393625.509319129,94.3429462624774,8.21203621507367,6875.3635,391.793459078625,6875363.5
1993.0,33434.0822372051,92.841612969836,402258.169833671,96.4119956704653,8.31159805928357,6938.2645,401.566345556167,6938264.5
1994.0,34718.3853161382,96.407936954575,412190.662743032,98.7925848919847,8.42289465877164,6993.7945,413.680838970155,6993794.5
